actrnumber,study_title,interventions,intervention_codes,eligibity_inclusive,eligibity_exclusive
ACTRN12605000538640,Radiation sensitivity in prostate cancer patients,Nil,CODE: None,"The first stage of the project is a case-control study involving 100 untreated Prostate cancer cases and 100 controls. Cases and controls will be matched for age, gender, familial history of cancer and smoking status.The second stage of the project is a prospective study aimed at determining whether the selected biomarkers predict abnormal tissue reaction in 100 localized Prostate cancer patients treated with RT who have ECOG 0-2 performance status and do not have a constant requirement for aperients or anti-diarrhoeal medication. Age, weight, tumour grade, family history of prostate cancer, use of anti-male hormone therapy and smoking status will be recorded.",No exclusion criteria
ACTRN12605000549628,Lymphatic Mapping and Selective (Sentinel) Lymph Node Biopsy for Melanoma Treatment Phase II Study for Therapy of Patients with Early Stage Melanoma,Treatment of patients with Early Stage I/II Melanoma using Lymphatic Mapping and Selective (Sentinel) Lymph Node Biopsy. This treatment has shown a high degree of safety with very few adverse events. The scheduled initial follow-up period will be for 5 years post-surgery.,CODE: None," Stage I and II cutaneous melanoma > 1mm in Breslow thickness or > Clark Level III; Absence of Metastases; Willingness to attend all scheduled clinical visits, tests and blood sampling.  ",Poor performance status; Pregnancy; Other malignancy.
ACTRN12605000561684,A phase II trial of adjuvant chemo-radiation followed by chemotherapy for patients with newly diagnosed endometrial carcinoma at high-risk of relapse,"Adjuvant chemo-radiation followed by chemotherapy. Patients will be treated with adjuvant pelvic radiotherapy plus concurrent Carboplatin chemotherapy, followed by 4 cycles of chemotherapy with Carboplatin plus Paclitaxel. The toal duration of the intervention is 24 weeks.",CODE: Treatment: drugs,"Patients must have newly diagnosed, histologically confirmed endometrial carcinoma, and have undergone a total abdominal hysterectomy and bilateral salpingo-oophorectomy with or without a dissection of pelvic and/or para-aortic nodes. It is also recommended that patients will have undergone an omentectomy and had peritoneal washings taken. In addition, patients must be either:A. Patients with documented involvement of pelvic and/or para-aortic nodes by histology (FIGO stage IIIc) or post-operative PET, CT or PET/CTORB. Patients who have not undergone a complete lymphadenectomy, who have negative sampled nodes or unknown nodal status and have high-risk disease as defined by:a) FIGO stage Ic or IIb with : aggressive non-endometroid histology (serous papillary or clear cell type comprising 10% of  the endometrial tumour) ORb) FIGO stage IIb with : grade 3 histologyc) Any FIGO stage III disease excluding those defined as stage III only by positive peritoneal cytologyPatients must not have received any prior chemotherapy for another malignancy. Patients who have been treated for other malignancies must not have received prior pelvic or abdominal radiotherapy, and any prior radiotherapy must have been to less than 15% of the bone marrow bearing areasECOG performance status less than 2Life expectancy of greater than 6 months.Patients must have normal organ and marrow function as defined below:- absolute neutrophil count >1,500- platelets > 100,000- total bilirubin < 1.25 X upper limit of normal - AST(SGOT)/ALT(SGPT) <3 X institutional upper limit of normal.- estimated GFR > 50 ml/minPatient has given written informed consent.","Patients with other invasive malignancies, with the exception of treated non-melanoma skin cancer, in the last 5 yearsPatients receiving any other therapeutic investigational agents  Patients who are receiving concurrent treatment with any other anti-cancer therapyPatients who have commenced any post-surgical anti-cancer treatment for endometrial cancerEvidence of distant metastasesHistory of allergic reactions attributed to compounds of similar chemical or biologic composition to paclitaxel or carboplatin   Symptomatic peripheral neuropathy greater than or equal to grade 2.Serious illness of medical condition that precludes the safe administration of the trial treatment including, but not limited to, ongoing or active infection, symptomatic congestive heart failure, unstable angina pectoris, cardiac arrhythmia, or psychiatric illness/social situations that would limit compliance with study requirements."
ACTRN12605000573651,The development and evaluation of two decision aids for individuals considering genetic testing for hereditary cancer.,"The study aims to compare the efficacy of an educational pamphlet currently used in the clinical setting to that of the decision aids using two randomised controlled trials. The decision aids will be tested with two different samples: 120 individuals at high risk for HNPCC and 120 members of high-risk breast cancer families who approach one of six familial cancer clinics who have agreed to participate in this study (the familial cancer clinics in NSW: at Prince of Wales, Westmead, St Vincents Hospitals and Hunter Genetics, Newcastle, and in Victoria: at Royal Melbourne Hospital, and the Peter McCallum Cancer Institute). Participants will complete a questionnaire after they have read the decision aid or pamphlet, followed by a second questionnaire after 6 months.",CODE: Behaviour,"To be eligible to participate in the study, patients must meet all the following criteria: (i) be at potentially high risk of breast/ovarian cancer (family history consistent with hereditary breast/ovarian cancer syndrome [National Breast Cancer Centre Category 3]) or HNPCC (family history consistent with HNPCC according to the revised Amsterdam criteria); (ii) be eligible for genetic testing, that is either be affected with cancer or, if unaffected, have a living, affected relative for whom mutation search would be appropriate; (iii) be able to give informed consent; (iv) be able to read English proficiently.
Men from HNPCC families will be included because the larger number of them (compared to breast/ovarian cancer families) will enable meaningful statistical analysis of their responses.",Men from breast cancer families will not be invited to participate because of the low number of men attending familial cancer clinics and because of the substantial differences in the needs of men attending these clinics compared to women. 
ACTRN12605000588695,"Neoadjuvant chemotherapy with docetaxel and anthracycline based chemotherapy in patients with advanced breast cancer: Evaluation of biological, clinical and imaging markers of tumour response.","Treatment A=
FEC100


Epirubicin	iv over 15-30 minutes	100 mg/m2	once	every 21 days, 	4 cyles
plus
Fluorouracil	iv bolus	500mg/m2	once	every 21 days for	4 cycles
plus
Cyclophosphamide	iv over 60 minutes	500mg/m2	once	every 21 days	for 4 cycles
Treatment B
Docetaxel
	iv over 60 minutes	100 mg/m2	once	every 21 days for	4 cycles
Trastuzumab 	Iv over 15-30 min	8 mg/m2 as loading dose, subsequent dose 6mg/m2	once evewry 21 days (after completion of anthracycline)
(after completion of anthracycline)		
Subjects will receive treatment A followed by Treatment B with no wash out period
Subjects will only recieve the Trastuzumab if they are HER2 positive",CODE: Treatment: drugs,locally advanced breast cancer,metastatic disease (Stage 4)
ACTRN12605000589684,"Prostate Cancer: An internal, solid-malignancy model for vaccine therapy","Single-blinded, 3 groups (randomised) examining two injection routes (intradermal and intravenous), of cultured autologous dendritic cells pulsed with soluble antigens.  6 injections with 4 weeks interval over 20 weeks.",CODE: Treatment: Other,"Prostatic Cancer confirmed by biopsy, hormone refractory disease, HLA-A2+.","Bone metastasis, ECOG status>1, PSA <4ng/ml, Abnormal haematologic parameters, Abnormal liver and renal function paramenters, history of autoimmune disease or immunosuppressive therapy, previous radiotherapy, protatectomy, or  lymphadectomy, positive serology for HIV, Hep B or Hep C, Significant non-malignant disease, Psychiatric,  addictive or any conditions which compromise ability to participate in this trial."
ACTRN12605000590662,Phase III trial of an immunotherapy for Stage III (AJCC) melanoma based on  cultured autologous dendritic cells presenting autologous tumour cell  antigens,"Intervention: autologous dendritic cell vaccine using autologous irradiated tumor cells as antigen source;
Duration of intervention: two years or until disease recurrence.",CODE: Treatment: Other,"Histologically confirmed melanoma of Stage III; ECOG status 0; Normal Haematolology; Acceptable Renal and Liver function parameters; Negative serology for HIV, Hep B and C;Informed written consent.","Autoimmune disease or immunosuppressant use, Prior chemotherapy,  immunotherapy, gene therapy, vaccine therapy,  cytokine therapy, post-operative complications which would preclude experimental vaccine therapy, Unsuccessful vaccine preparation, Clinically significant active infection, Uncontrolled systemic disease or medical problems, History of other malignancies (except for adequately treated and controlled non-melanomatic skin cancer or in situ cervical cancer), Pregnancy."
ACTRN12605000625673,"A Phase I, open label study of extended dosing with PatrinTM in combination with temozolomide in the treatment of patients with advanced melanoma.",Patrin combined with temozolomide for 6 cycles.,CODE: Treatment: drugs,"Unresectable stage 3 /4 measurable (RECIST criteria), histologically proven cutaneous melanoma or unknown primary with melanoma metastases, without systemic treatment for metastatic disease.",No exclusion criteria
ACTRN12605000636651,Phase 1 Study of Coxsackievirus A21 for the treatment of melanoma,A single intratumoural injection of coxsackievirus A21.,CODE: Treatment: drugs,Stage IV melanoma (AJCC)- minimum of 2 SC metastases- failure or refusal of standard chemotherapy- ECOG score of 0 or 1- other.,Metastatic CNS disease- occular or mucosal melanoma- immunodeficiency- splenectomy- other.
ACTRN12605000643673,A Phase III randomised study of BAY 43-9006 in patients with unresectable and/or metastatic renal cell cancer,"All patients will be randomised to receive either BAY 43-9006 400 mg (2x200 mg tablets) or matching placebo (2 tablets) administered orally twice daily in combination with Best Supportive Care.  
The Treatment Period for the study drug will include dosing twice daily in an uninterrupted schedule, the treatment period will be divided into 6 week cycles for the first 24 weeks of treatment.  Cycles beyond 24 weeks of treatment will be 8 weeks in duration.  Treatment will continue until unacceptable toxicity thought to be related to the study drug and which requires discontinuation of drug is found or consent is withdrawn.   
Once a patient progresses, the patient may be unblinded and given the opportunity to continue on BAY 43-9006.",CODE: None,"Patients who have a life expectancy of at least 12 weeksPatients, who suffer from unresectable and/or metastatic, measurable RCC histologically or cytologically documented. Patients must have had only one prior systemic therapy for advanced disease on which the patient progressed. Patients who have at least one uni-dimensional measurable lesion by CT-scan or MRI according to Response Evaluation Criteria in Solid Tumours (RECIST) Patients with Intermediate or low risk per the Motzer score.Patients who have an Eastern Co-operative Oncology Group (ECOG) performance status of 0 or 1. Adequate hepatic function.Amylase and lipase <1.5 x the upper limit of normal.Serum creatinine <2.0 x the upper limit of normal.  PT or INR and PTT <1.5 x upper limit of normal.","Previous malignancy (except for cervical carcinoma in situ, adequately treated basal cell carcinoma, or superficial bladder tumours [Ta, Tis and T1] or other malignancies curatively treated > 2 years prior to entry). Patients who completed their prior systemic treatment regimen less than 30 days or greater than 8 months prior to randomisation.Cardiac arrhythmias, symptomatic coronary artery disease or ischaemia or congestive heart failure. Active clinically serious bacterial or fungal infections.Known history of human immunodeficiency virus (HIV) infection or chronic hepatitis B or CKnown history or presence of metastatic brain or meningeal tumours.Patients with seizure disorder requiring medication.History of organ allograftSubstance abuse, medical, psychological or social conditions that may interfere with the patients participation in the study or evaluation of the study results.Patients with ""high"" risk per Motzer criteria.Known or suspected allergy to the investigational agent or any agent given in association with this trial.Any condition that is unstable or which could jeopardise the safety of the patient and his/her compliance in the study.Pregnant or breast-feeding patients."
ACTRN12605000644662,"A Phase III randomized, placebo-controlled study of sorafenib in patients with advanced hepatocellular carcinoma","This is a randomized, double blinded trial to evaluate the clinical benefit of sorafenib 400 mg bid  versus placebo in patients with advanced HCC (Child-Pugh A only).   
  The overall treatment period will be divided into 6-week cycles. 
Patient visits for safety and drug accountability will be conducted every 3 weeks. The Functional Assessment of Cancer Therapy (FACT) Hepatobiliary Symptom Index (FHSI-8) Questionnaire will also be completed every three weeks. 
The FHSI-8 and FACT-Hep questionnaires are being completed as part of an assessment of efficacy endpoints. Tumor measurements will be conducted on the first day of each cycle. 
After study drug treatment ends, patients will be contacted every 3 months to determine survival status and to request that they complete the FHSI-8.

Recruitment is expected to be achieved by April 2006.",CODE: None,Patients who have a life expectancy of at least 12 weeks.Patients with advanced HCC. Patients with histologically or cytologically documented HCC. Patients must have at least one tumor lesion that can be accurately measured in at least one dimension and has not been previously treated with local therapy.,"Previous or concurrent cancer that is distinct in primary site or histology from HCC, EXCEPT cervical carcinoma in situ, treated basal cell carcinoma, superficial bladder tumors (Ta, Tis & T1).  Any cancer curatively treated > 3 years prior to entry is permitted.Renal failure requiring hemo- or peritoneal dialysis.History of cardiac disease.Active clinically serious infections.Known history of human immunodeficiency virus (HIV) infection. Known Central Nervous System tumors including metastatic brain disease. Patients with clinically significant gastrointestinal bleeding within 30 days prior to study entry.History of organ allograft.Substance abuse, medical, psychological or social conditions that may interfere with the patients participation in the study or evaluation of the study results.Known or suspected allergy to the investigational agent or any agent given in association with this trial.Patients unable to swallow oral medications.Any condition that is unstable or which could jeopardize the safety of the patient and his/her compliance in the studyPregnant or breast-feeding patients."
ACTRN12605000684628,"A phase III randomised, placebo-controlled study of Sorafenib in repeated cycles of 21 days in combination with paclitaxel / carboplatin chemotherapy in patients with unresectable stage III or IV melanoma.","The objectives of this study are to compare the anti-tumor activity as measured by Progression Free Survival (PFS) and tolerability of sorafenib in combination with paclitaxel and carboplatin versus paclitaxel and carboplatin in combination with placebo in subjects with unresectable Stage III or Stage IV melanoma who progressed after receiving only one prior therapy containing DTIC or TMZ.
Subjects will be randomized to one of the following treatment groups:
Group A - Sorafenib, 400 mg po,  Study Days 2-19 + paclitaxel (225 mg/m2 iv) and carboplatin (AUC 6 iv) on Study Day 1.
Group B - Placebo, Study Days 2-19 + paclitaxel (225 mg/m2 iv) and carboplatin (AUC 6 iv) on Study Day 1.

Subjects will receive up to 10 cycles of carboplatin/paclitaxel until disease progression or non-tolerated toxicity. If their disease status is Stable Disease (modified RECIST Criteria) or better following 10 cycles of carboplatin/paclitaxel, subjects will continue sorafenib/placebo treatment (no rest, no interruption day 19-21) until disease progression or intolerability is documented.",CODE: Treatment: drugs,"Histologically or cytologically confirmed unresectable (Stage III) or metastatic (Stage IV) melanoma. Measurable disease defined as at least one lesion that can be accurately and serially measured per the modified RECIST criteria. Cutaneous lesions measuring at least 1 cm will be considered measurable.ECOG Performance Status of 0 or 1.Life expectancy of at least 12 weeks.Subjects must have progressed after receiving at least one cycle of DTIC (with a minimum total dose of 850 mg/m2) or TMZ (with a minimum total dose of 750 mg/m2) containing regimen. Subjects may not have received more than one prior regimen in either the adjuvant or metastatic setting.Previous chemotherapy, biologic therapy, or radiation treatment must have been discontinued at least 4 weeks prior to study entry and subjects must have recovered from adverse events due to those agents.Signed informed consent must be obtained prior to any study specific procedures.Adequate bone marrow, liver and renal function..Subjects must not have any evidence of a bleeding diathesis.Serum creatinine less than 1.5 x ULNSerum amylase less than or equal 1.5 ULN. Lipase will be assessed in case abnormal values of amylase. Subjects with lipase less than or equal to 1.5 x ULN will be eligible.","Primary ocular or mucosal melanoma.Previous or concurrent cancer that is distinct in primary site or histology from the cancer being evaluated in this study except cervical carcinoma in situ, treated basal cell carcinoma, superficial bladder tumors (TA, Tis & Ti) or any cancer curatively treated < 5 years prior to study entry.Clinically evident congestive heart failure.Cardiac arrhythmias including atrial fibrillation are excluded if not adequately controlled. Subjects on beta-blockers and digoxin must be monitored closely as sorafenib may affect metabolism of these agents.Active coronary artery disease or ischemia.Uncontrolled hypertension.Active clinically serious infections. Subjects who have received parenteral antibiotics within 4 weeks of treatment are excludedSubjects with seizure disorder requiring medication. The use of carbamazepine, phenytoin and phenobarbital (drugs that induce CYP450 3A4 activity) is prohibited as these may enhance the metabolism of sorafenib and decrease serum concentrationsHistory of or suspected HIV infection or chronic hepatitis B or C.Active CNS metastatic or meningeal tumors will be excluded. History of organ allograft or stem cell transplantation.Pregnant or breast-feeding subjects.  Both men and women must use two methods of adequate barrier birth control measures from screening until at least 28 days into the active follow-up period of the study.Prior radiation therapy is allowed. Prior treatment with a Ras pathway inhibitor, or treatment with a drug which targets VEGF.Radiotherapy, except palliative radiotherapy will not be allowed during study participation.Major surgery within 4 weeks of study entry.Subjects who have received more than one prior DTIC or TMZ containing regimen in either the adjuvant or metastatic setting. Prior treatments include, additional anticancer therapy, or investigational treatment.Biological response modifiers within 3 weeks of study entry.Use of St Johns Wort and rifampicin during the study or within 3 weeks of the first dose of study entry.Substance abuse, medical, psychological or social conditions that may interfere with the subjects participation in the study or evaluation of the study results.Known or suspected allergy to the investigational agent or any agent given inassociation with this trial.Unresolved chronic toxicity."
ACTRN12605000694617,SCOTROC 4,"Chemotherapy: Carboplatin given over 6 cycles, 3 weekly.",CODE: Treatment: drugs,"Histologically confirmed epithelial ovarian carcinoma, or primary fallopian tube carcinoma or peritoneal carcinomatosis (ovarian-type), considered unsuitable or unwilling for treatment with platinum-taxane combination therapy; FIGO stages Ic-IV with or without successful cytoreductive surgery at staging laparotomy (Stage Ic patients will be limited to those with malignant cells in ascitic fluid/peritoneal washings, tumour on the surface of the ovary, or pre-operative capsule rupture); Intention to treat patient within 8 weeks of initial surgery. ","ECOG performance status > 3; Prior treatment with chemotherapy or radiotherapy; Inadequate bone marrow function, renal function or liver function; Concurrent severe and/or uncontrolled co-morbid medical condition; Patients with mixed mesodermal tumours, borderline ovarian tumours or tumours termed ""possibly malignant""; Adenocarcinoma of unknown origin, if histologically shown to be mucin-secreting cancer; History of previous malignancy within the previous 5 years or concurrent malignancy (e.g. co-existing endometrial cancer); Pregnant or lactating women; Symptomatic peripheral neuropathy > NCI-CTC grade II."
ACTRN12605000695606,Australian Screening Mammography Decision Aid Trial (ASMDAT),"The purpose of the study is to develop and evaluate a decision aid to assist women aged 70 years and over to make an informed choice about whether to continue screening mammography, as part of the monitoring and evaluation program of BreastScreen NSW. 

Women who are due their FIRST screening mammogram over the age of 70 will be randomly allocated into one of two groups, to receive either (a) Decision Aid -a paper based workbook and personal worksheet containing balanced information on the outcomes of screening mammography for women aged 70 years and older, steps to decision making and a values clarification exercise, or (b) standard BreastScreen NSW information material. Three weeks later, women in both groups will be followed up to find out if those who received the decision aid had better knowledge and more realistic expectations of the potential benefits and harms involved in screening mammography, and reduced decisional conflict about whether or not to continue screening mammograms. The impact of the decision aid on rates of participation in screening mammography among women aged 70 years and older will be followed up after three months.",CODE: Other interventions,"Women who are due their FIRST screening mammogram, and who have previously participated in screening mammography at BreastScreen NSW.",Women not sufficiently proficient in English to complete the CATI and read the decision aid / standard care information and postal questionnaire.Women with a personal history of breast cancer (invasive or pre-invasive).
ACTRN12605000699662,Sandostatin LAR in HCC,Sandostatin LAR for 12 months,CODE: Treatment: drugs,"(All of the following): 4.1.1histological OR cytological evidence of hepatocellular carcinoma OR liver imaging suggestive of the diagnosis AND a plasma alpha-fetoprotein over 500 IU/mL. 4.1.2 Hepatocellular carcinoma which is unresectable. 4.1.3patient performance status (WHO) grade 0, 1 or 2.4.1.7women must have a negative pregnancy test prior to treatment; both men and women should have adequate contraception during the course of treatment.4.1.8written informed consent.","(None of the following: )4.2.1Previous octreotide treatment for hepatocellular carcinoma4.2.2patient performance status > (WHO) 3 4.2.3peripheral blood white cell count < 2.0 x 109/L, platelet count <50 x 109/L and haemoglobin < 10.0 g/L.4.2.4serum creatinine greater than or equal to 0.15mmol/L; serum bilirubin > 50 micromol/litre; serum albumin < 25 g/L; AST and ALT > 5x institutional upper limit of normal. Patients with Primary Biliary Cirrhosis (PBC) should be classified using Bilirubin levels defined for this patient group in the Childs-Pugh Score (see appendix 7).4.2.5prothrombin ratio (INR) > 2.04.2.6any inter-current illness that may significantly interfere with safe administration of Sandostatin LAR® or end-point evaluation; including refractory severe encephalopathy, symptomatic gallstone disease (either cholecystolithiasis or choledocholithiasis).4.2.7Treatment with somatostatin for other reasons4.2.8Concurrent anti-tumour treatment for HCC4.2.9pregnant women4.2.10previous malignancy within the last 5 years other than curatively resected non-melanoma skin cancer or carcinoma of the uterine cervix.4.2.11known reaction to the study drug4.2.12HIV positive patients4.2.13uncontrolled ascites requiring paracentesis within 4 weeks4.2.14variceal bleeding in the last month4.2.15prior radiation therapy to the only evaluable site of disease4.2.16refusal to give informed consent to participate in the study4.2.17Child-Pugh class C cirrhosis, (for patients with PBC use the adjusted bilirubin levels to classify the patient).4.2.18patients who are rendered artificially eligible by the administration of blood product support."
ACTRN12605000700639,Oesophageal Trial,6 months of preoperative chemotherapy and radiotherapy followed by surgery vs surgery alone,CODE: Treatment: Other,"Histologically proven invasive squamous cell carcinoma or adenocarcinoma of the oesophagus.Technically resectable disease, as assessed in consultation with intended surgeon, with no planned post-operative anti-tumour treatment.No evidence of extrathoracic spread. (Tumour in supraclavicular and/or coeliac nodes renders patient ineligible.)Tumour is NOT located in cervical oesophagus requiring pharyngo-oesophagectomy.Tumour is NOT predominantly below the oesophagogastric junction and involving the stomach. (i.e. Most of the macroscopically visible tumour must be above the O-G junction and technically within the oesophagus.)Medically fit for surgical resection, defined as having adequate cardiopulmonary function and ECOG performance status of 0 or 1.Adequate haematological function, defined as having WBC > 4 x 109/litre and platelets > 100 x 109/litre.Adequate renal function, defined as creatinine clearance > 60 ml/min calculated (using Cockcroft & Gault formula - see Appendix 6). If calculated creatinine clearance is < 60ml/min, glomerular filtration rate can be measured by an alternative method. If results from this are creatinine clearance > 60mls/min the patient is eligible.No previous radiotherapy to the chest, no previous chemotherapy.No previous malignancy, with the exception of non-metastatic SCC of skin, other non-melanoma skin cancer, carcinoma in situ of the cervix. Cases for Special Eligibility with regard to this criteria may be presented to the study chair for discussion.No evidence of tracheo- or broncho-oesophageal fistula.Not pregnant or lactating.Written informed consent of the patient according to local ethics committee guidelines.",No exclusion criteria
ACTRN12605000700639,Oesophageal Trial,6 months of preoperative chemotherapy and radiotherapy followed by surgery vs surgery alone,CODE: Treatment: Other,"Histologically proven invasive squamous cell carcinoma or adenocarcinoma of the oesophagus.Technically resectable disease, as assessed in consultation with intended surgeon, with no planned post-operative anti-tumour treatment.No evidence of extrathoracic spread. (Tumour in supraclavicular and/or coeliac nodes renders patient ineligible.)Tumour is NOT located in cervical oesophagus requiring pharyngo-oesophagectomy.Tumour is NOT predominantly below the oesophagogastric junction and involving the stomach. (i.e. Most of the macroscopically visible tumour must be above the O-G junction and technically within the oesophagus.)Medically fit for surgical resection, defined as having adequate cardiopulmonary function and ECOG performance status of 0 or 1.Adequate haematological function, defined as having WBC > 4 x 109/litre and platelets > 100 x 109/litre.Adequate renal function, defined as creatinine clearance > 60 ml/min calculated (using Cockcroft & Gault formula - see Appendix 6). If calculated creatinine clearance is < 60ml/min, glomerular filtration rate can be measured by an alternative method. If results from this are creatinine clearance > 60mls/min the patient is eligible.No previous radiotherapy to the chest, no previous chemotherapy.No previous malignancy, with the exception of non-metastatic SCC of skin, other non-melanoma skin cancer, carcinoma in situ of the cervix. Cases for Special Eligibility with regard to this criteria may be presented to the study chair for discussion.No evidence of tracheo- or broncho-oesophageal fistula.Not pregnant or lactating.Written informed consent of the patient according to local ethics committee guidelines.",No exclusion criteria
ACTRN12605000701628,ECF Gastric Study,"Chemotherapy: Epirubicin, 5FU, Cisplatin; for 18 weeks total (9 pre-surgery, 9 post-surgery)",CODE: None,"Histologically verified newly diagnosed locally advanced but operable adenocarcinoma or undifferentiated carcinoma of the stomach (including cardio-esophageal tumours where at least 50% of the tumour involves the stomach).Patient performance status WHO 0-1 (see Appendix 2)Bi-dimensionally measurable or evaluable disease as assessed by upper GI endoscopy, with or without endolumenal ultrasoundPeripheral blood white cell count greater than 3.5x109/l and platelet count greater than 100x109/lA glomerular filtration rate of greater than or equal to 60mls/minute. This can be measured  using an EDTA clearance or 24 hour urinary creatinine clearance at the investigators discretionSerum bilirubin of less than or equal to 20mmol/LPatients must not have a history of other malignant diseases other than adequately treated non-melanotic skin cancer or in situ carcinoma of the uterine cervixPatients (male and female) with fertility potential should undertake adequate contraceptionWritten informed consent must be obtained from the patientNo medical or psychiatric condition that impairs the patients ability to give informed consentNo prior chemotherapy or radiation therapyNo uncontrolled angina pectoris, heart failure, clinically significant uncontrolled cardiac arrhythmias, or any patient with an abnormal ECG or cardiac history having a LVEF of <50% No clinically significant hearing loss.No other serious uncontrolled medical conditions impairing the safety of chemotherapy or surgeryNo pregnant or breast-feeding woman; any woman of childbearing potential must have a pregnancy test prior to treatment No clinical evidence of distant spread, as indicated by hard supraclavicular lymph node enlargment, irregular hepatomegaly, ascites or a rectal shelf indicating transcoelomic spread  to the rectovesical or rectovaginal pouch. No evidence of distant spread on Chest X-ray or CT scan of the chest, abdomen, and pelvis.No evidence of ""Early gastric cancer"" (Stage Ia) - Endoscopic and histological appearence consistent with a carcinoma which is confined to the mucosa or submucosa.No evidence of esophagogastric or antropyloric obstruction to a degree which prevents ingestion of fluids. (It may be regarded as reasonable to support such a patient with parenteral nutrition through one treatment cycle in the hope that an early response may improve the patient's ability to eat).No prior surgery for the tumour eg bypass, attempted resection or staging (except for laparoscopy)No aspect of the patient which leads the responsible surgeon to believe that the patient represents an especially high operative risk because of build, previous surgery, poor nutritional status or other factors.",No exclusion criteria
ACTRN12605000701628,ECF Gastric Study,"Chemotherapy: Epirubicin, 5FU, Cisplatin; for 18 weeks total (9 pre-surgery, 9 post-surgery)",CODE: None,"Histologically verified newly diagnosed locally advanced but operable adenocarcinoma or undifferentiated carcinoma of the stomach (including cardio-esophageal tumours where at least 50% of the tumour involves the stomach).Patient performance status WHO 0-1 (see Appendix 2)Bi-dimensionally measurable or evaluable disease as assessed by upper GI endoscopy, with or without endolumenal ultrasoundPeripheral blood white cell count greater than 3.5x109/l and platelet count greater than 100x109/lA glomerular filtration rate of greater than or equal to 60mls/minute. This can be measured  using an EDTA clearance or 24 hour urinary creatinine clearance at the investigators discretionSerum bilirubin of less than or equal to 20mmol/LPatients must not have a history of other malignant diseases other than adequately treated non-melanotic skin cancer or in situ carcinoma of the uterine cervixPatients (male and female) with fertility potential should undertake adequate contraceptionWritten informed consent must be obtained from the patientNo medical or psychiatric condition that impairs the patients ability to give informed consentNo prior chemotherapy or radiation therapyNo uncontrolled angina pectoris, heart failure, clinically significant uncontrolled cardiac arrhythmias, or any patient with an abnormal ECG or cardiac history having a LVEF of <50% No clinically significant hearing loss.No other serious uncontrolled medical conditions impairing the safety of chemotherapy or surgeryNo pregnant or breast-feeding woman; any woman of childbearing potential must have a pregnancy test prior to treatment No clinical evidence of distant spread, as indicated by hard supraclavicular lymph node enlargment, irregular hepatomegaly, ascites or a rectal shelf indicating transcoelomic spread  to the rectovesical or rectovaginal pouch. No evidence of distant spread on Chest X-ray or CT scan of the chest, abdomen, and pelvis.No evidence of ""Early gastric cancer"" (Stage Ia) - Endoscopic and histological appearence consistent with a carcinoma which is confined to the mucosa or submucosa.No evidence of esophagogastric or antropyloric obstruction to a degree which prevents ingestion of fluids. (It may be regarded as reasonable to support such a patient with parenteral nutrition through one treatment cycle in the hope that an early response may improve the patient's ability to eat).No prior surgery for the tumour eg bypass, attempted resection or staging (except for laparoscopy)No aspect of the patient which leads the responsible surgeon to believe that the patient represents an especially high operative risk because of build, previous surgery, poor nutritional status or other factors.",No exclusion criteria
